feature,importance
standardscaler__media_ph_mean,0.02560084944494323
standardscaler__result_obs_duration_mean,0.023617240868547617
standardscaler__media_temperature_mean,0.020631706167353978
standardscaler__chem_mol2vec061,0.014353582459587358
standardscaler__chem_mordred_Xpc-6d,0.013335032659799302
standardscaler__chem_mordred_ATS3Z,0.012959666070139606
standardscaler__chem_mordred_Xpc-6dv,0.008556632963919137
standardscaler__chem_mordred_Xpc-5dv,0.007961225249505653
standardscaler__chem_mordred_Sm,0.007636841435886837
standardscaler__tax_lh_licm,0.006548100521424028
standardscaler__chem_mordred_ATS0m,0.00654765426161817
standardscaler__chem_mordred_GGI2,0.006438949487102097
standardscaler__tax_ps_ampv,0.00633083477510808
standardscaler__chem_mordred_Xpc-4dv,0.006244205448747208
standardscaler__tax_lh_amd,0.006237570778255235
standardscaler__tax_lh_lpcm,0.006190282272282561
standardscaler__tax_lh_ri#/d,0.006151031694671445
standardscaler__tax_ps_ampkap,0.0060379664535044906
standardscaler__chem_mol2vec226,0.006002560182261295
standardscaler__chem_mordred_MPC8,0.00599014790479367
